"Id","UserId","Avatar","Author","Content","Url","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfMzkwMjA0NDAwMzQwMjA3Nw==","100069699575680","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/448266453_765922482407731_4819362501868571602_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHGqrQE4HYt7a3WVn_zPAY8NDOOQ8_bJG80M45Dz9skb477PNeHVAo_e65DoHqq3lrbVUGjJg1dUGZwE9wpWkFF&_nc_ohc=aQSO2RHTVOsQ7kNvgHfWxIl&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYDWkP3XYkFK3Dx5YfFxFVfW6vCWO5VDZPUAAlOt5PEjag&oe=6675F498","Kaito Kid","Nói thiệt á, tui còn chưa làm gì thiệt mà. Nếu mà có tui cũng giấu tới cuối chứ làm j leak sớm z. Nên là mọi người lo ôn bài đi nhaaaaaaa <3","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=3902044003402077","15","0","1","06/17/2024 07:49:23 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfODQxNzQ5NjQ0NTQxNTAx","100053978115539","https://scontent.fsgn19-1.fna.fbcdn.net/v/t1.30497-1/143086968_2856368904622192_1959732218791162458_n.png?stp=cp0_dst-png_p32x32&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGeHqmZ1cTaj41jbNFmjlWAso2H55p0AlGyjYfnmnQCUemA0NxXiMvC3iwkXz-XpSXbIBdKXDfMCQxQJc9oBn2f&_nc_ohc=dLKpxagQdsAQ7kNvgE4TNCp&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYDXR5Km5ntH9R-UM8B2QSibNMAzp-3ObUs3kkKV5-51Eg&oe=6697A338","Trịnh Hồng Lan","☺️💔","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=841749644541501","0","0","0","06/17/2024 07:47:57 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfODUzOTUxODAzMjQzNTk5","100017884985507","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/419097255_1391067414832745_6806302648304188322_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGkSwh4_GrGit7jbB58CVF8-gD8nJIXTmv6APyckhdOa9aJ5gMZTr1SyfvzHbeC57iOdSvZQiiLfoxBw6AJPUHI&_nc_ohc=JL6mYHO4OfwQ7kNvgFw8J4s&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYBcKZzsS1hP18asd69AGGBpXvL8LU6bgSU8j9OC_WVysw&oe=6675F635","Nguyễn Thảo","Chồng ác vừa thôi","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=853951803243599","0","0","0","06/17/2024 07:47:36 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfMjg5Njg0MzI0MjI1NTQw","100047974548726","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/444480055_957545585854584_5549545114587743875_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGfslQ4li7IajC5tEWLK_Jvvirh03VORtu-KuHTdU5G26chr0jAeyQmKqhJKz8E4Q1MwBoGg5dvo1-Aa8-9KIYy&_nc_ohc=3IHuYa2VvTAQ7kNvgFTgp-N&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYDzM9e4Q0dFlmCwbGULYAkIHuCz_ZUowr5x2nnR-n2W4w&oe=66761F7D","Ng Khanh Duy","Việt Bắc 😭","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=289684324225540","0","0","0","06/17/2024 07:48:26 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfNDU0NDc4Njg3NTMzNjA0","100025782908334","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/444456159_1499724530896963_1255719043888086945_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeHOD3gs0peP7u-3VhiV0pBqQnWdvxb1ScxCdZ2_FvVJzE_gobEJlsbvjB6Rfa0ECCeAkipj1U4o94zUuqfrtFpH&_nc_ohc=lWNp14RZBe8Q7kNvgE61mhU&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYCD2YXfrPwZWAiSjbqgCWoMngt0wp4MD2FVzunedAJ_Tg&oe=66761330","Anh Thơm","ác ôn","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=454478687533604","0","0","0","06/17/2024 07:50:14 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfMzA2NDc3ODcwMDMyNTg3Ng==","100043239493973","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/448430635_1204522967665675_6110550570704669080_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeEYpuU1Rfg8lfDKnIRg94zYf1FSg6NzIvJ_UVKDo3Mi8memC14svPP8d7GQjZ8m9Ta1AeFfO1qjtDSF8xQP7sR3&_nc_ohc=E0fl_ds2vKMQ7kNvgHMkua4&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYD12ZI7ocoxai047BDH7-vtfYNttK3OWCMSXs0_LElhsw&oe=6675E994","Mai Ngọc Ánh","Vô bài sóng chứ đâu","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=3064778700325876","0","0","0","06/17/2024 07:50:10 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfMzg0MTUyMjE3NDUzOTQ3","100050135135462","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/415271176_892373385777158_1290141651820758918_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeFOf-0t-Sg83TitH4EZrmQzwRBPA85o9IvBEE8Dzmj0i2NvQHZ4Fzt6_6vWjrkuxejrt6QBztaxNFNNtbUorArR&_nc_ohc=82OnpLfg6KkQ7kNvgGH84lh&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYDcGiv13Isd5h5FGnGUySfgubDKx0y-3ExEDo-D1_mOaA&oe=6675FD6B","Hà Phương Mai","làm dư luận hoang mang🙃","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=384152217453947","0","0","0","06/17/2024 07:48:06 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfMTY2MTE2MjQwMTMxMjQzMg==","100071742848197","https://scontent.fsgn19-1.fna.fbcdn.net/v/t1.30497-1/143086968_2856368904622192_1959732218791162458_n.png?stp=cp0_dst-png_p32x32&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGeHqmZ1cTaj41jbNFmjlWAso2H55p0AlGyjYfnmnQCUemA0NxXiMvC3iwkXz-XpSXbIBdKXDfMCQxQJc9oBn2f&_nc_ohc=dLKpxagQdsAQ7kNvgE4TNCp&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYDXR5Km5ntH9R-UM8B2QSibNMAzp-3ObUs3kkKV5-51Eg&oe=6697A338","Linh Diệp","Xạo th đk =))","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=1661162401312432","0","0","0","06/17/2024 07:50:19 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfMTQzMTE1MzYwNzU4NzU4OA==","100055097636859","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/428597892_931424718704107_602950082325712794_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeER5b7Me7zkJPhsf1d0eM-ubPaWOckHBAts9pY5yQcECxNVXvP99asj4s3mMrz3vhm5tPv3HzXb8kYLSNEibjSt&_nc_ohc=ED7uihF54BgQ7kNvgGuzayZ&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYBxJ6h8z42S6vGbxaLMscZIupCwvkOUuYwtWER_FeqQxQ&oe=6676164E","Yenn Yenn","Ác vừa thuuii","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=1431153607587588","0","0","0","06/17/2024 07:48:59 PM"
"Y29tbWVudDo3NjcwNzIzMTIyOTI3NDhfMzc5NjE1NTIxMjg2Njc2","100073389636654","https://scontent.fsgn19-1.fna.fbcdn.net/v/t39.30808-1/448229862_495541336235517_486402555877325147_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_eui2=AeGSvpDWBjhewcpsSwWYUiYiqFHYHOjzcMeoUdgc6PNwx5tQ_xi7ALlaDHn77hUDw4P35VL0fy0Ei1IIe8n_tuGO&_nc_ohc=k6Q2TPAtIaMQ7kNvgH6z7cH&_nc_ht=scontent.fsgn19-1.fna&oh=00_AYATwH-OVdFn-XbEcwaoElx5AoIl46ncV7msngVJrgB4lQ&oe=6675F2BF","Kim TuyếnN","ác:)","https://www.facebook.com/KaitoKid1412.Official/posts/pfbid02UMynNFPFMXYxqGzdHkf1hBDcKSYJJBWJD6PeNyho5ofmkF5pDKrqFStgmuRVcoval?comment_id=379615521286676","0","0","0","06/17/2024 07:49:35 PM"
